No.,Time,Source,Destination,Protocol,Length,Win
99,5.468179,10.0.0.2,10.0.0.1,TCP,78,170496
100,5.530402,10.0.0.1,10.0.0.2,TCP,1514,29696
101,5.589136,10.0.0.2,10.0.0.1,TCP,78,170496
102,5.626364,10.0.0.2,10.0.0.1,TCP,78,170496
103,5.650171,10.0.0.2,10.0.0.1,TCP,66,170496
104,5.651391,10.0.0.1,10.0.0.2,TCP,1514,29696
105,5.681809,10.0.0.2,10.0.0.1,TCP,66,170496
106,5.688666,10.0.0.1,10.0.0.2,TCP,1514,29696
107,5.712559,10.0.0.1,10.0.0.2,TCP,1514,29696
108,5.756178,10.0.0.1,10.0.0.2,TCP,2962,29696
109,5.803206,10.0.0.2,10.0.0.1,TCP,66,170496
110,5.840463,10.0.0.2,10.0.0.1,TCP,66,170496
111,5.864125,10.0.0.2,10.0.0.1,TCP,66,170496
112,5.866183,10.0.0.1,10.0.0.2,TCP,1514,29696
113,5.902698,10.0.0.1,10.0.0.2,TCP,1514,29696
114,5.907283,10.0.0.2,10.0.0.1,TCP,66,170496
115,5.926432,10.0.0.1,10.0.0.2,TCP,1514,29696
116,5.981635,10.0.0.1,10.0.0.2,TCP,2962,29696
117,6.017794,10.0.0.2,10.0.0.1,TCP,66,170496
118,6.05313,10.0.0.2,10.0.0.1,TCP,66,170496
119,6.078181,10.0.0.2,10.0.0.1,TCP,66,170496
120,6.080635,10.0.0.1,10.0.0.2,TCP,1514,29696
121,6.116311,10.0.0.1,10.0.0.2,TCP,1514,29696
122,6.132371,10.0.0.2,10.0.0.1,TCP,66,170496
123,6.141394,10.0.0.1,10.0.0.2,TCP,1514,29696
124,6.206738,10.0.0.1,10.0.0.2,TCP,2962,29696
125,6.21901,10.0.0.1,10.0.0.2,TCP,1514,29696
126,6.232101,10.0.0.2,10.0.0.1,TCP,66,170496
127,6.267795,10.0.0.2,10.0.0.1,TCP,66,170496
128,6.292171,10.0.0.2,10.0.0.1,TCP,66,170496
129,6.294409,10.0.0.1,10.0.0.2,TCP,1514,29696
130,6.330341,10.0.0.1,10.0.0.2,TCP,1514,29696
131,6.354423,10.0.0.1,10.0.0.2,TCP,1514,29696
132,6.35814,10.0.0.2,10.0.0.1,TCP,66,170496
133,6.369725,10.0.0.2,10.0.0.1,TCP,66,170496
134,6.433231,10.0.0.1,10.0.0.2,TCP,2962,29696
135,6.444642,10.0.0.1,10.0.0.2,TCP,1514,29696
136,6.444862,10.0.0.2,10.0.0.1,TCP,66,170496
137,6.504822,10.0.0.2,10.0.0.1,TCP,66,170496
138,6.507118,10.0.0.1,10.0.0.2,TCP,1514,29696
139,6.579251,10.0.0.1,10.0.0.2,TCP,2962,29696
140,6.583719,10.0.0.2,10.0.0.1,TCP,66,170496
141,6.63686,10.0.0.2,10.0.0.1,TCP,66,170496
142,6.658516,10.0.0.1,10.0.0.2,TCP,2962,29696
143,6.71124,10.0.0.1,10.0.0.2,TCP,2962,29696
144,6.729634,10.0.0.2,10.0.0.1,TCP,66,170496
145,6.804081,10.0.0.1,10.0.0.2,TCP,2962,29696
146,6.812158,10.0.0.2,10.0.0.1,TCP,66,170496
147,6.862354,10.0.0.2,10.0.0.1,TCP,66,170496
148,6.886544,10.0.0.1,10.0.0.2,TCP,2962,29696
149,6.93679,10.0.0.1,10.0.0.2,TCP,2962,29696
150,6.954461,10.0.0.2,10.0.0.1,TCP,66,170496
151,7.029815,10.0.0.1,10.0.0.2,TCP,2962,29696
152,7.037143,10.0.0.2,10.0.0.1,TCP,66,170496
153,7.088266,10.0.0.2,10.0.0.1,TCP,66,170496
154,7.162632,10.0.0.1,10.0.0.2,TCP,2962,29696
155,7.180444,10.0.0.2,10.0.0.1,TCP,66,170496
156,7.187747,10.0.0.1,10.0.0.2,TCP,2962,29696
157,7.242672,10.0.0.1,10.0.0.2,TCP,1514,29696
158,7.313047,10.0.0.2,10.0.0.1,TCP,78,170496
159,7.338448,10.0.0.2,10.0.0.1,TCP,78,170496
160,7.375361,10.0.0.1,10.0.0.2,TCP,1514,29696
161,7.393317,10.0.0.2,10.0.0.1,TCP,78,170496
162,7.400773,10.0.0.1,10.0.0.2,TCP,1514,29696
163,7.425772,10.0.0.1,10.0.0.2,TCP,2962,29696
164,7.455599,10.0.0.1,10.0.0.2,TCP,1514,29696
165,7.527572,10.0.0.2,10.0.0.1,TCP,78,170496
166,7.551507,10.0.0.2,10.0.0.1,TCP,66,170496
167,7.578311,10.0.0.2,10.0.0.1,TCP,66,170496
168,7.589944,10.0.0.1,10.0.0.2,TCP,1514,29696
169,7.606124,10.0.0.2,10.0.0.1,TCP,66,170496
170,7.613748,10.0.0.1,10.0.0.2,TCP,1514,29696
171,7.652725,10.0.0.1,10.0.0.2,TCP,2962,29696
172,7.680469,10.0.0.1,10.0.0.2,TCP,2962,29696
173,7.741225,10.0.0.2,10.0.0.1,TCP,66,170496
174,7.765453,10.0.0.2,10.0.0.1,TCP,66,170496
175,7.803206,10.0.0.2,10.0.0.1,TCP,66,170496
176,7.816532,10.0.0.1,10.0.0.2,TCP,2962,29696
177,7.828266,10.0.0.1,10.0.0.2,TCP,1514,29696
178,7.831116,10.0.0.2,10.0.0.1,TCP,66,170496
179,7.877554,10.0.0.1,10.0.0.2,TCP,2962,29696
180,7.905557,10.0.0.1,10.0.0.2,TCP,2962,29696
181,7.968158,10.0.0.2,10.0.0.1,TCP,66,170496
182,7.978967,10.0.0.2,10.0.0.1,TCP,66,170496
183,8.028036,10.0.0.2,10.0.0.1,TCP,66,170496
184,8.042562,10.0.0.1,10.0.0.2,TCP,2962,29696
185,8.055945,10.0.0.2,10.0.0.1,TCP,66,170496
186,8.066797,10.0.0.1,10.0.0.2,TCP,2962,29696
187,8.103374,10.0.0.1,10.0.0.2,TCP,2962,29696
188,8.130284,10.0.0.1,10.0.0.2,TCP,2962,29696
189,8.193083,10.0.0.2,10.0.0.1,TCP,66,170496
190,8.217306,10.0.0.2,10.0.0.1,TCP,66,170496
191,8.25505,10.0.0.2,10.0.0.1,TCP,66,170496
192,8.267463,10.0.0.1,10.0.0.2,TCP,2962,29696
193,8.280678,10.0.0.2,10.0.0.1,TCP,66,170496
194,8.29247,10.0.0.1,10.0.0.2,TCP,2962,29696
195,8.329437,10.0.0.1,10.0.0.2,TCP,2962,29696
196,8.355429,10.0.0.1,10.0.0.2,TCP,2962,29696
197,8.418488,10.0.0.2,10.0.0.1,TCP,66,170496
198,8.443877,10.0.0.2,10.0.0.1,TCP,66,170496
199,8.479824,10.0.0.2,10.0.0.1,TCP,66,170496
200,8.492881,10.0.0.1,10.0.0.2,TCP,2962,29696
201,8.506295,10.0.0.2,10.0.0.1,TCP,66,170496
202,8.518282,10.0.0.1,10.0.0.2,TCP,2962,29696
203,8.554254,10.0.0.1,10.0.0.2,TCP,2962,29696
204,8.580648,10.0.0.1,10.0.0.2,TCP,2962,29696
205,8.643447,10.0.0.2,10.0.0.1,TCP,66,170496
206,8.668865,10.0.0.2,10.0.0.1,TCP,66,170496
207,8.705082,10.0.0.2,10.0.0.1,TCP,66,170496
208,8.717922,10.0.0.1,10.0.0.2,TCP,2962,29696
209,8.731136,10.0.0.2,10.0.0.1,TCP,66,170496
210,8.743287,10.0.0.1,10.0.0.2,TCP,2962,29696
211,8.805502,10.0.0.1,10.0.0.2,TCP,2962,29696
212,8.869247,10.0.0.2,10.0.0.1,TCP,66,170496
213,8.893923,10.0.0.2,10.0.0.1,TCP,66,170496
214,8.944522,10.0.0.1,10.0.0.2,TCP,2962,29696
215,8.957583,10.0.0.2,10.0.0.1,TCP,78,170496
216,8.968334,10.0.0.1,10.0.0.2,TCP,2962,29696
217,9.020518,10.0.0.1,10.0.0.2,TCP,1514,29696
218,9.095352,10.0.0.2,10.0.0.1,TCP,78,170496
219,9.118833,10.0.0.2,10.0.0.1,TCP,78,170496
220,9.157719,10.0.0.1,10.0.0.2,TCP,1514,29696
221,9.170963,10.0.0.1,10.0.0.2,TCP,1514,29696
222,9.170987,10.0.0.2,10.0.0.1,TCP,78,170496
223,9.194075,10.0.0.1,10.0.0.2,TCP,2962,29696
224,9.234355,10.0.0.1,10.0.0.2,TCP,1514,29696
225,9.30817,10.0.0.2,10.0.0.1,TCP,66,170496
226,9.322526,10.0.0.2,10.0.0.1,TCP,66,170496
227,9.346127,10.0.0.2,10.0.0.1,TCP,66,170496
228,9.37064,10.0.0.1,10.0.0.2,TCP,1514,29696
229,9.385226,10.0.0.2,10.0.0.1,TCP,66,170496
230,9.39694,10.0.0.1,10.0.0.2,TCP,2962,29696
231,9.421106,10.0.0.1,10.0.0.2,TCP,2962,29696
232,9.447497,10.0.0.1,10.0.0.2,TCP,1514,29696
233,9.521301,10.0.0.2,10.0.0.1,TCP,66,170496
234,9.54755,10.0.0.2,10.0.0.1,TCP,66,170496
235,9.57175,10.0.0.2,10.0.0.1,TCP,66,170496
