No.,Time,Source,Destination,Protocol,Length,Win
1,0,10.0.0.3,10.0.0.2,TCP,74,29200
2,0.157988,10.0.0.2,10.0.0.3,TCP,74,28960
3,0.208677,10.0.0.3,10.0.0.2,TCP,66,29696
4,0.226112,10.0.0.3,10.0.0.2,TCP,2114,29696
5,0.238242,10.0.0.3,10.0.0.2,TCP,1514,29696
6,0.250337,10.0.0.3,10.0.0.2,TCP,1514,29696
7,0.275716,10.0.0.3,10.0.0.2,TCP,2962,29696
8,0.28666,10.0.0.3,10.0.0.2,TCP,1514,29696
9,0.310892,10.0.0.3,10.0.0.2,TCP,2962,29696
10,0.323056,10.0.0.3,10.0.0.2,TCP,1514,29696
11,0.378001,10.0.0.2,10.0.0.3,TCP,66,32256
12,0.378015,10.0.0.2,10.0.0.3,TCP,66,34816
13,0.388567,10.0.0.2,10.0.0.3,TCP,66,37888
14,0.400764,10.0.0.2,10.0.0.3,TCP,66,40960
15,0.42622,10.0.0.2,10.0.0.3,TCP,66,46592
16,0.43854,10.0.0.2,10.0.0.3,TCP,66,49664
17,0.452371,10.0.0.3,10.0.0.2,TCP,2962,29696
18,0.461369,10.0.0.2,10.0.0.3,TCP,66,55296
19,0.474109,10.0.0.2,10.0.0.3,TCP,66,58368
20,0.476575,10.0.0.3,10.0.0.2,TCP,2962,29696
21,0.50082,10.0.0.3,10.0.0.2,TCP,2962,29696
22,0.525854,10.0.0.3,10.0.0.2,TCP,2962,29696
23,0.549277,10.0.0.3,10.0.0.2,TCP,2962,29696
24,0.573499,10.0.0.3,10.0.0.2,TCP,2962,29696
25,0.598668,10.0.0.3,10.0.0.2,TCP,2962,29696
26,0.602753,10.0.0.2,10.0.0.3,TCP,66,64000
27,0.623312,10.0.0.3,10.0.0.2,TCP,2962,29696
28,0.626943,10.0.0.2,10.0.0.3,TCP,66,69632
29,0.646307,10.0.0.3,10.0.0.2,TCP,2962,29696
30,0.651207,10.0.0.2,10.0.0.3,TCP,66,75776
31,0.670681,10.0.0.3,10.0.0.2,TCP,2962,29696
32,0.676648,10.0.0.2,10.0.0.3,TCP,66,81408
33,0.695609,10.0.0.3,10.0.0.2,TCP,2962,29696
34,0.699821,10.0.0.2,10.0.0.3,TCP,66,87040
35,0.718815,10.0.0.3,10.0.0.2,TCP,2962,29696
36,0.724013,10.0.0.2,10.0.0.3,TCP,66,92672
37,0.743043,10.0.0.3,10.0.0.2,TCP,2962,29696
38,0.749133,10.0.0.2,10.0.0.3,TCP,66,98816
39,0.767292,10.0.0.3,10.0.0.2,TCP,2962,29696
40,0.774115,10.0.0.2,10.0.0.3,TCP,66,104448
41,0.791517,10.0.0.3,10.0.0.2,TCP,2962,29696
42,0.796646,10.0.0.2,10.0.0.3,TCP,66,110080
43,0.815727,10.0.0.3,10.0.0.2,TCP,2962,29696
44,0.821072,10.0.0.2,10.0.0.3,TCP,66,116224
45,0.83997,10.0.0.3,10.0.0.2,TCP,2962,29696
46,0.846018,10.0.0.2,10.0.0.3,TCP,66,121856
47,0.864193,10.0.0.3,10.0.0.2,TCP,2962,29696
48,0.870118,10.0.0.2,10.0.0.3,TCP,66,127488
49,0.888398,10.0.0.3,10.0.0.2,TCP,2962,29696
50,0.894252,10.0.0.2,10.0.0.3,TCP,66,133632
51,0.912631,10.0.0.3,10.0.0.2,TCP,2962,29696
52,0.919196,10.0.0.2,10.0.0.3,TCP,66,139264
53,0.936843,10.0.0.3,10.0.0.2,TCP,2962,29696
54,0.94189,10.0.0.2,10.0.0.3,TCP,66,144896
55,0.961497,10.0.0.3,10.0.0.2,TCP,2962,29696
56,0.966505,10.0.0.2,10.0.0.3,TCP,66,151040
